country,variable,provider,key,comment
USA,credit_to_private_nonfin_sector,NONE,,"FRED-QD tracks credit by purpose/level (BUSLOANSx, TOTALSLx, REALLNx, ...), not one combined %GDP series like BIS's."
USA,household_mortgage_loans,FRED_QD,REALLNx,"FRED-QD's REALLNx is REAL (Core-PCE-deflated) dollars; the ECB BSI series used for euro-area countries is a NOMINAL euro-denominated stock of outstanding MFI loans to households for house purchase -- related but not an identical construction, and not deflated here."
USA,euro_area_household_net_worth_growth,FRED_QD,TNWBSHNOx,
USA,household_credit_to_gdp,NONE,,No %GDP household-credit series in FRED-QD; FRED itself mirrors the same underlying BIS series for the US as HDTGPDUSQ163N.
USA,corporate_credit_to_gdp,NONE,,"FRED-QD's TLBSNNCBx is a dollar-level series, not %GDP; no confirmed FRED %GDP analog for the US was found."
USA,government_debt_to_gdp,FRED_QD,GFDEGDQ188S,"FRED-QD's GFDEGDQ188S is US FEDERAL debt only (excludes state/local government); the BIS series used for every country (incl. the US) is credit to the WHOLE general-government sector (all levels combined) -- related but broader-scoped concepts, not identical."
USA,fx_rate_to_usd,NONE,,Not meaningful for the US itself -- this concept is a foreign currency's price in USD.
USA,real_effective_exchange_rate,FRED_QD,TWEXAFEGSMTHx,FRED-QD's series is a NOMINAL trade-weighted index against advanced foreign economies only; the OECD-mirror series used for other countries is REAL (price-adjusted) and broader -- related but not identical.
USA,consumer_confidence,FRED_QD,UMCSENTx,
USA,economic_sentiment_indicator,NONE,,"No FRED-QD equivalent; DG ECFIN's own flagship composite indicator (weighted average of industry/services/consumer/retail/construction survey balances), explicitly constructed and empirically validated to track and lead euro-area GDP growth."
USA,services_confidence,NONE,,No FRED-QD equivalent; a standard EC sentiment sub-index for the services sector.
USA,geopolitical_risk,NONE,,"No FRED-QD equivalent; the Caldara-Iacoviello (2022) Geopolitical Risk index, the standard academic/policy measure -- country-specific for the 44 countries the source covers (confirmed: includes DEU/USA, excludes AUT), global index used otherwise (see R/gpr.R)."
USA,share_price_index,FRED_QD,S&P 500,
AUT,real_gdp,EUROSTAT,namq_10_gdp:B1GQ (extended pre-1995 with OECD_QNA:S1.B1GQ),
AUT,real_household_consumption,EUROSTAT,namq_10_gdp:P31_S14 (extended pre-1995 with OECD_QNA:S1M.P3),"Source-dependent: for EU members (Eurostat NA_ITEM=P31_S14) this is household-only consumption, a close match to FRED-QD's household-only PCE; where OECD QNA is used instead (sector S1M), it is total-economy final consumption expenditure INCLUDING NPISHs, broader than FRED-QD's definition."
AUT,real_govt_consumption,EUROSTAT,namq_10_gdp:P3_S13 (extended pre-1995 with OECD_QNA:S13.P3),"SNA/ESA transaction P3, sector S13 (general government) is government consumption expenditure only, whether sourced from OECD or Eurostat; FRED-QD's GCEC1 also includes government gross investment."
AUT,real_gfcf_total,EUROSTAT,namq_10_gdp:P51G (extended pre-1995 with OECD_QNA:.P51G),"SNA/ESA transaction P51G (gross fixed capital formation) is for ALL sectors (incl. government), whether sourced from OECD or Eurostat; FRED-QD's FPIx is private-sector fixed investment only."
AUT,real_exports,EUROSTAT,namq_10_gdp:P6 (extended pre-1995 with OECD_QNA:S1.P6),
AUT,real_imports,EUROSTAT,namq_10_gdp:P7 (extended pre-1995 with OECD_QNA:S1.P7),
AUT,real_household_disposable_income,,,"Not resolved for AUT. OECD's quarterly household disposable income (DF_QNA_INC_SAV) is published for only 11 countries (AUS, BRA, CAN, CHL, EST, GRC, HUN, LTU, LUX, LVA, ZAF); absent for most others, confirmed absent for DEU/AUT/USA/FRA/GBR."
AUT,industrial_production,FRED_MIRROR,AUTPROINDQISMEI,
AUT,industrial_confidence,EC_BCS,AT.INDU,"EU member states only: European Commission Business and Consumer Survey, Industrial Confidence Indicator (""AT.INDU"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept."
AUT,unemployment_rate,FRED_MIRROR,LRHUTTTTATQ156S,
AUT,employment_rate,FRED_MIRROR,LREM64TTATQ156S,"Employment-to-population ratio, ages 15-64 (OECD MEI); included as a standard cross-country labour-market indicator even though FRED-QD has no direct equivalent (see us_note)."
AUT,employment_expectations,EC_BCS,AT.EEI,"EU member states only: European Commission Business and Consumer Survey, Employment Expectations Indicator (""AT.EEI"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept."
AUT,house_price_real,FRED_MIRROR,QATR628BIS,
AUT,construction_confidence,EC_BCS,AT.BUIL,"EU member states only: European Commission Business and Consumer Survey, Construction Confidence Indicator (""AT.BUIL"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept."
AUT,retail_sales_volume,FRED_MIRROR,AUTSARTQISMEI,"OECD MEI retail sales volume is not published for the USA itself via this mirror -- a genuine coverage gap for that one country, not a wrong code."
AUT,retail_confidence,EC_BCS,AT.RETA,"EU member states only: European Commission Business and Consumer Survey, Retail Trade Confidence Indicator (""AT.RETA"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept."
AUT,cpi_index,EUROSTAT_HICP,prc_hicp_midx:M.I05.CP00.AT,"EU member states: sourced from Eurostat's Harmonised Index of Consumer Prices (HICP, all-items, prc_hicp_midx), NOT the frozen OECD-MEI-via-FRED mirror used for non-EU countries -- see R/eurostat.R. Confirmed live 2026-08-30 to extend to 2025-Q4 for Austria, versus the FRED mirror's confirmed freeze at 2023-Q4 -- a roughly 2-year improvement. HICP's basket/methodology differs somewhat from the US CPI-U basket underlying FRED-QD's CPIAUCSL, but is the standard EU consumer-price measure. Falls back to the FRED mirror if the Eurostat series is unavailable for a given run."
AUT,core_cpi_index,EUROSTAT_HICP,prc_hicp_midx:M.I05.TOT_X_NRG_FOOD.AT,"Eurostat HICP excluding energy, food, alcohol and tobacco (COICOP=TOT_X_NRG_FOOD) -- the standard ECB/Eurostat ""core inflation"" measure. EU member states only; no FRED-mirror fallback exists for this concept."
AUT,food_price_index,EUROSTAT_HICP,prc_hicp_midx:M.I05.CP01.AT,"Eurostat HICP, food and non-alcoholic beverages (COICOP=CP01). EU member states only; no FRED-mirror fallback exists for this concept."
AUT,energy_price_index,EUROSTAT_HICP,prc_hicp_midx:M.I05.NRG.AT,"Eurostat HICP, energy (COICOP=NRG). EU member states only; no FRED-mirror fallback exists for this concept."
AUT,services_price_index,EUROSTAT_HICP,prc_hicp_midx:M.I05.SERV.AT,"Eurostat HICP, services (overall index excluding goods) (COICOP=SERV). EU member states only; no FRED-mirror fallback exists for this concept."
AUT,unit_labor_cost,EUROSTAT_ULC,namq_10_lp_ulc:Q.I10.SCA.NULC_HW.AT,"Where Eurostat publishes an index-level series for it (confirmed for Austria: namq_10_lp_ulc, NA_ITEM=NULC_HW, UNIT=I10, hours-based like FRED-QD's ULCNFB), this replaces the default OECD-mirror proxy (OECD MEI unit labour cost, employment-based, % change, confirmed live for AT/DE/FR/GB/US) -- see R/eurostat.R. Not every EU country publishes this index-level series (confirmed absent for Germany, which keeps the OECD-mirror value)."
AUT,long_term_rate,FRED_MIRROR,IRLTLT01ATQ156N,
AUT,short_term_rate,FRED_MIRROR,IR3TIB01ATQ156N,
AUT,mortgage_rate,ECB_MIR,A2C.R.A.2250.EUR.N,"ECB MFI Interest Rate Statistics (MIR): new-business loans to households for house purchase, all initial rate fixation periods combined -- genuinely country-specific (unlike euro_area_household_net_worth_growth above), available for euro-area members only."
AUT,credit_to_private_nonfin_sector,BIS_WSTC,P,"BIS reports this as a stock, % of GDP (private non-financial sector = households + nonfinancial corporations combined)."
AUT,household_mortgage_loans,ECB_BSI,A22T.A.1.U6.2250.Z01.E,"ECB MFI Balance Sheet Items (BSI): outstanding amounts (stocks, millions of EUR) of loans to households for house purchase, domestic counterpart -- genuinely country-specific (unlike euro_area_household_net_worth_growth), available for euro-area members only. Same purpose category as mortgage_rate, but a different ECB dataflow with an entirely different dimension structure -- see R/ecb.R."
AUT,euro_area_household_net_worth_growth,ECB_QSA_PUB,I8,ECB QSA_PUB publishes household net worth only for the euro-area AGGREGATE (REF_AREA=I8) -- every euro-area country gets this same figure; it is not country-specific.
AUT,household_credit_to_gdp,BIS_WSTC,H,"BIS credit to households & NPISHs, % of GDP -- country-specific (unlike the ECB net-worth aggregate above)."
AUT,corporate_credit_to_gdp,BIS_WSTC,N,"BIS credit to nonfinancial corporations, % of GDP -- country-specific."
AUT,government_debt_to_gdp,BIS_WSTC,G,"BIS credit to general government (all levels: federal/state/local combined), % of GDP -- BIS's own credit-statistics methodology treats this as a close proxy for gross government debt; genuinely country-specific and, unlike the euro-area-only mortgage_rate/consumer_confidence overrides, available for non-EU countries too (confirmed live for AT/DE/US)."
AUT,fx_rate_to_usd,FRED_MIRROR,CCUSMA02ATQ618N,"OECD MEI bilateral exchange rate, national currency per USD."
AUT,real_effective_exchange_rate,FRED_MIRROR,CCRETT01ATQ661N,OECD real (price-adjusted) effective exchange rate index -- see us_note for how this differs from FRED-QD's nominal series.
AUT,consumer_confidence,EC_BCS,AT.CONS,"EU member states: sourced from the European Commission's own Business and Consumer Survey (a live, monthly, seasonally adjusted balance statistic, e.g. ""AT.CONS""), NOT the frozen OECD-MEI-via-FRED mirror used for non-EU countries -- see R/ec_survey.R. Falls back to the FRED mirror if the EC archive is unavailable for a given run."
AUT,economic_sentiment_indicator,EC_BCS,AT.ESI,"EU member states only: European Commission Business and Consumer Survey, Economic Sentiment Indicator (""AT.ESI"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept."
AUT,services_confidence,EC_BCS,AT.SERV,"EU member states only: European Commission Business and Consumer Survey, Services Confidence Indicator (""AT.SERV"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept."
AUT,geopolitical_risk,GPR,GPR,"Caldara and Iacoviello's (2022) Geopolitical Risk index, from matteoiacoviello.com's own published data file -- see R/gpr.R. Genuinely country-specific for the 44 countries the source constructs one for (confirmed: Germany, the United States); the global index is used for every other country (confirmed: Austria), not a country-specific gap in this project's own sourcing."
AUT,share_price_index,YAHOO_FINANCE,^ATX,"Austria: sourced from the ATX (Austrian Traded Index) via Yahoo Finance (ticker ""^ATX""), Austria's own actual benchmark index, NOT the generic OECD MEI 'all shares' proxy used for other countries -- see R/yahoo_finance.R. Falls back to the FRED mirror if the Yahoo Finance fetch is unavailable for a given run."
DEU,real_gdp,EUROSTAT,namq_10_gdp:B1GQ (extended pre-1995 with OECD_QNA:S1.B1GQ),
DEU,real_household_consumption,EUROSTAT,namq_10_gdp:P31_S14 (extended pre-1995 with OECD_QNA:S1M.P3),"Source-dependent: for EU members (Eurostat NA_ITEM=P31_S14) this is household-only consumption, a close match to FRED-QD's household-only PCE; where OECD QNA is used instead (sector S1M), it is total-economy final consumption expenditure INCLUDING NPISHs, broader than FRED-QD's definition."
DEU,real_govt_consumption,EUROSTAT,namq_10_gdp:P3_S13 (extended pre-1995 with OECD_QNA:S13.P3),"SNA/ESA transaction P3, sector S13 (general government) is government consumption expenditure only, whether sourced from OECD or Eurostat; FRED-QD's GCEC1 also includes government gross investment."
DEU,real_gfcf_total,EUROSTAT,namq_10_gdp:P51G (extended pre-1995 with OECD_QNA:.P51G),"SNA/ESA transaction P51G (gross fixed capital formation) is for ALL sectors (incl. government), whether sourced from OECD or Eurostat; FRED-QD's FPIx is private-sector fixed investment only."
DEU,real_exports,EUROSTAT,namq_10_gdp:P6 (extended pre-1995 with OECD_QNA:S1.P6),
DEU,real_imports,EUROSTAT,namq_10_gdp:P7 (extended pre-1995 with OECD_QNA:S1.P7),
DEU,real_household_disposable_income,,,"Not resolved for DEU. OECD's quarterly household disposable income (DF_QNA_INC_SAV) is published for only 11 countries (AUS, BRA, CAN, CHL, EST, GRC, HUN, LTU, LUX, LVA, ZAF); absent for most others, confirmed absent for DEU/AUT/USA/FRA/GBR."
DEU,industrial_production,FRED_MIRROR,DEUPROINDQISMEI,
DEU,industrial_confidence,EC_BCS,DE.INDU,"EU member states only: European Commission Business and Consumer Survey, Industrial Confidence Indicator (""AT.INDU"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept."
DEU,unemployment_rate,FRED_MIRROR,LRHUTTTTDEQ156S,
DEU,employment_rate,FRED_MIRROR,LREM64TTDEQ156S,"Employment-to-population ratio, ages 15-64 (OECD MEI); included as a standard cross-country labour-market indicator even though FRED-QD has no direct equivalent (see us_note)."
DEU,employment_expectations,EC_BCS,DE.EEI,"EU member states only: European Commission Business and Consumer Survey, Employment Expectations Indicator (""AT.EEI"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept."
DEU,house_price_real,FRED_MIRROR,QDER628BIS,
DEU,construction_confidence,EC_BCS,DE.BUIL,"EU member states only: European Commission Business and Consumer Survey, Construction Confidence Indicator (""AT.BUIL"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept."
DEU,retail_sales_volume,FRED_MIRROR,DEUSARTQISMEI,"OECD MEI retail sales volume is not published for the USA itself via this mirror -- a genuine coverage gap for that one country, not a wrong code."
DEU,retail_confidence,EC_BCS,DE.RETA,"EU member states only: European Commission Business and Consumer Survey, Retail Trade Confidence Indicator (""AT.RETA"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept."
DEU,cpi_index,EUROSTAT_HICP,prc_hicp_midx:M.I05.CP00.DE,"EU member states: sourced from Eurostat's Harmonised Index of Consumer Prices (HICP, all-items, prc_hicp_midx), NOT the frozen OECD-MEI-via-FRED mirror used for non-EU countries -- see R/eurostat.R. Confirmed live 2026-08-30 to extend to 2025-Q4 for Austria, versus the FRED mirror's confirmed freeze at 2023-Q4 -- a roughly 2-year improvement. HICP's basket/methodology differs somewhat from the US CPI-U basket underlying FRED-QD's CPIAUCSL, but is the standard EU consumer-price measure. Falls back to the FRED mirror if the Eurostat series is unavailable for a given run."
DEU,core_cpi_index,EUROSTAT_HICP,prc_hicp_midx:M.I05.TOT_X_NRG_FOOD.DE,"Eurostat HICP excluding energy, food, alcohol and tobacco (COICOP=TOT_X_NRG_FOOD) -- the standard ECB/Eurostat ""core inflation"" measure. EU member states only; no FRED-mirror fallback exists for this concept."
DEU,food_price_index,EUROSTAT_HICP,prc_hicp_midx:M.I05.CP01.DE,"Eurostat HICP, food and non-alcoholic beverages (COICOP=CP01). EU member states only; no FRED-mirror fallback exists for this concept."
DEU,energy_price_index,EUROSTAT_HICP,prc_hicp_midx:M.I05.NRG.DE,"Eurostat HICP, energy (COICOP=NRG). EU member states only; no FRED-mirror fallback exists for this concept."
DEU,services_price_index,EUROSTAT_HICP,prc_hicp_midx:M.I05.SERV.DE,"Eurostat HICP, services (overall index excluding goods) (COICOP=SERV). EU member states only; no FRED-mirror fallback exists for this concept."
DEU,unit_labor_cost,FRED_MIRROR,ULQEUL01DEQ657S,"Where Eurostat publishes an index-level series for it (confirmed for Austria: namq_10_lp_ulc, NA_ITEM=NULC_HW, UNIT=I10, hours-based like FRED-QD's ULCNFB), this replaces the default OECD-mirror proxy (OECD MEI unit labour cost, employment-based, % change, confirmed live for AT/DE/FR/GB/US) -- see R/eurostat.R. Not every EU country publishes this index-level series (confirmed absent for Germany, which keeps the OECD-mirror value)."
DEU,long_term_rate,FRED_MIRROR,IRLTLT01DEQ156N,
DEU,short_term_rate,FRED_MIRROR,IR3TIB01DEQ156N,
DEU,mortgage_rate,ECB_MIR,A2C.R.A.2250.EUR.N,"ECB MFI Interest Rate Statistics (MIR): new-business loans to households for house purchase, all initial rate fixation periods combined -- genuinely country-specific (unlike euro_area_household_net_worth_growth above), available for euro-area members only."
DEU,credit_to_private_nonfin_sector,BIS_WSTC,P,"BIS reports this as a stock, % of GDP (private non-financial sector = households + nonfinancial corporations combined)."
DEU,household_mortgage_loans,ECB_BSI,A22T.A.1.U6.2250.Z01.E,"ECB MFI Balance Sheet Items (BSI): outstanding amounts (stocks, millions of EUR) of loans to households for house purchase, domestic counterpart -- genuinely country-specific (unlike euro_area_household_net_worth_growth), available for euro-area members only. Same purpose category as mortgage_rate, but a different ECB dataflow with an entirely different dimension structure -- see R/ecb.R."
DEU,euro_area_household_net_worth_growth,ECB_QSA_PUB,I8,ECB QSA_PUB publishes household net worth only for the euro-area AGGREGATE (REF_AREA=I8) -- every euro-area country gets this same figure; it is not country-specific.
DEU,household_credit_to_gdp,BIS_WSTC,H,"BIS credit to households & NPISHs, % of GDP -- country-specific (unlike the ECB net-worth aggregate above)."
DEU,corporate_credit_to_gdp,BIS_WSTC,N,"BIS credit to nonfinancial corporations, % of GDP -- country-specific."
DEU,government_debt_to_gdp,BIS_WSTC,G,"BIS credit to general government (all levels: federal/state/local combined), % of GDP -- BIS's own credit-statistics methodology treats this as a close proxy for gross government debt; genuinely country-specific and, unlike the euro-area-only mortgage_rate/consumer_confidence overrides, available for non-EU countries too (confirmed live for AT/DE/US)."
DEU,fx_rate_to_usd,FRED_MIRROR,CCUSMA02DEQ618N,"OECD MEI bilateral exchange rate, national currency per USD."
DEU,real_effective_exchange_rate,FRED_MIRROR,CCRETT01DEQ661N,OECD real (price-adjusted) effective exchange rate index -- see us_note for how this differs from FRED-QD's nominal series.
DEU,consumer_confidence,EC_BCS,DE.CONS,"EU member states: sourced from the European Commission's own Business and Consumer Survey (a live, monthly, seasonally adjusted balance statistic, e.g. ""AT.CONS""), NOT the frozen OECD-MEI-via-FRED mirror used for non-EU countries -- see R/ec_survey.R. Falls back to the FRED mirror if the EC archive is unavailable for a given run."
DEU,economic_sentiment_indicator,EC_BCS,DE.ESI,"EU member states only: European Commission Business and Consumer Survey, Economic Sentiment Indicator (""AT.ESI"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept."
DEU,services_confidence,EC_BCS,DE.SERV,"EU member states only: European Commission Business and Consumer Survey, Services Confidence Indicator (""AT.SERV"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept."
DEU,geopolitical_risk,GPR,GPRC_DEU,"Caldara and Iacoviello's (2022) Geopolitical Risk index, from matteoiacoviello.com's own published data file -- see R/gpr.R. Genuinely country-specific for the 44 countries the source constructs one for (confirmed: Germany, the United States); the global index is used for every other country (confirmed: Austria), not a country-specific gap in this project's own sourcing."
DEU,share_price_index,FRED_MIRROR,SPASTT01DEQ661N,"Austria: sourced from the ATX (Austrian Traded Index) via Yahoo Finance (ticker ""^ATX""), Austria's own actual benchmark index, NOT the generic OECD MEI 'all shares' proxy used for other countries -- see R/yahoo_finance.R. Falls back to the FRED mirror if the Yahoo Finance fetch is unavailable for a given run."
