label,fred_qd_group,fred_qd_mnemonic,us_note,cross_country_note,plausibility_category
household_mortgage_loans,Money and Credit,REALLNx,"FRED-QD's REALLNx is REAL (Core-PCE-deflated) dollars; the ECB BSI series used for euro-area countries is a NOMINAL euro-denominated stock of outstanding MFI loans to households for house purchase -- related but not an identical construction, and not deflated here.","ECB MFI Balance Sheet Items (BSI): outstanding amounts (stocks, millions of EUR) of loans to households for house purchase, domestic counterpart -- genuinely country-specific (unlike euro_area_household_net_worth_growth), available for euro-area members only. Same purpose category as mortgage_rate, but a different ECB dataflow with an entirely different dimension structure -- see R/ecb.R.",level
euro_area_household_net_worth_growth,Household Balance Sheets,TNWBSHNOx,,ECB QSA_PUB publishes household net worth only for the euro-area AGGREGATE (REF_AREA=I8) -- every euro-area country gets this same figure; it is not country-specific.,growth
household_credit_to_gdp,Household Balance Sheets,,No %GDP household-credit series in FRED-QD; FRED itself mirrors the same underlying BIS series for the US as HDTGPDUSQ163N.,"BIS credit to households & NPISHs, % of GDP -- country-specific (unlike the ECB net-worth aggregate above).",percent
corporate_credit_to_gdp,Non-Household Balance Sheets,,"FRED-QD's TLBSNNCBx is a dollar-level series, not %GDP; no confirmed FRED %GDP analog for the US was found.","BIS credit to nonfinancial corporations, % of GDP -- country-specific.",percent
government_debt_to_gdp,Non-Household Balance Sheets,GFDEGDQ188S,"FRED-QD's GFDEGDQ188S is US FEDERAL debt only (excludes state/local government); the BIS series used for every country (incl. the US) is credit to the WHOLE general-government sector (all levels combined) -- related but broader-scoped concepts, not identical.","BIS credit to general government (all levels: federal/state/local combined), % of GDP -- BIS's own credit-statistics methodology treats this as a close proxy for gross government debt; genuinely country-specific and, unlike the euro-area-only mortgage_rate/consumer_confidence overrides, available for non-EU countries too (confirmed live for AT/DE/US).",percent
fx_rate_to_usd,Exchange Rates,,Not meaningful for the US itself -- this concept is a foreign currency's price in USD.,"OECD MEI bilateral exchange rate, national currency per USD.",level
real_effective_exchange_rate,Exchange Rates,TWEXAFEGSMTHx,FRED-QD's series is a NOMINAL trade-weighted index against advanced foreign economies only; the OECD-mirror series used for other countries is REAL (price-adjusted) and broader -- related but not identical.,OECD real (price-adjusted) effective exchange rate index -- see us_note for how this differs from FRED-QD's nominal series.,level
consumer_confidence,Other,UMCSENTx,,"EU member states: sourced from the European Commission's own Business and Consumer Survey (a live, monthly, seasonally adjusted balance statistic, e.g. ""AT.CONS""), NOT the frozen OECD-MEI-via-FRED mirror used for non-EU countries -- see R/ec_survey.R. Falls back to the FRED mirror if the EC archive is unavailable for a given run.",balance
economic_sentiment_indicator,Other,,"No FRED-QD equivalent; DG ECFIN's own flagship composite indicator (weighted average of industry/services/consumer/retail/construction survey balances), explicitly constructed and empirically validated to track and lead euro-area GDP growth.","EU member states only: European Commission Business and Consumer Survey, Economic Sentiment Indicator (""AT.ESI"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept.",balance
services_confidence,Other,,No FRED-QD equivalent; a standard EC sentiment sub-index for the services sector.,"EU member states only: European Commission Business and Consumer Survey, Services Confidence Indicator (""AT.SERV"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept.",balance
geopolitical_risk,Other,,"No FRED-QD equivalent; the Caldara-Iacoviello (2022) Geopolitical Risk index, the standard academic/policy measure -- country-specific for the 44 countries the source covers (confirmed: includes DEU/USA, excludes AUT), global index used otherwise (see R/gpr.R).","Caldara and Iacoviello's (2022) Geopolitical Risk index, from matteoiacoviello.com's own published data file -- see R/gpr.R. Genuinely country-specific for the 44 countries the source constructs one for (confirmed: Germany, the United States); the global index is used for every other country (confirmed: Austria), not a country-specific gap in this project's own sourcing.",level_event_driven
share_price_index,Stock Markets,S&P 500,,"Austria: sourced from the ATX (Austrian Traded Index) via Yahoo Finance (ticker ""^ATX""), Austria's own actual benchmark index, NOT the generic OECD MEI 'all shares' proxy used for other countries -- see R/yahoo_finance.R. Falls back to the FRED mirror if the Yahoo Finance fetch is unavailable for a given run.",level
